Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Bayern Munich,2–2 (a),IFK Göteborg,0–0,2–2
Hajduk Split,0–3,Ajax,0–0,0–3
Barcelona,2–3,Paris Saint-Germain,1–1,1–2
Milan,2–0,Benfica,2–0,0–0
