Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,PAR,BAY,SPM,DKV
1,Paris Saint-Germain,6,6,0,0,12,3,+9,12,Advance to knockout stage,,—,2–0,4–1,1–0
2,Bayern Munich,6,2,2,2,8,7,+1,6,Advance to knockout stage,,0–1,—,2–2,1–0
3,Spartak Moscow,6,1,2,3,8,12,−4,4,,,1–2,1–1,—,1–0
4,Dynamo Kyiv,6,1,0,5,5,11,−6,2,,,1–2,1–4,3–2,—
