Rank,Name,Team,Goals
1,George Weah,Paris Saint-Germain,7.0
2,Jari Litmanen,Ajax,6.0
3,Magnus Erlingmark,IFK Göteborg,4.0
3,Marco Simone,Milan,4.0
5,José Mari Bakero,Barcelona,3.0
5,Romário,Barcelona,3.0
5,Hristo Stoichkov,Barcelona,3.0
5,Claudio Caniggia,Benfica,3.0
5,Christian Nerlinger,Bayern Munich,3.0
5,Mehmet Scholl,Bayern Munich,3.0
5,Viktor Leonenko,Dynamo Kyiv,3.0
5,,,
