Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BEN,HAJ,STE,AND
1,Benfica,6,3,3,0,9,5,+4,9,Advance to knockout stage,,—,2–1,2–1,3–1
2,Hajduk Split,6,2,2,2,5,7,−2,6,Advance to knockout stage,,0–0,—,1–4,2–1
3,Steaua București,6,1,3,2,7,6,+1,5,,,1–1,0–1,—,1–1
4,Anderlecht,6,0,4,2,4,7,−3,4,,,1–1,0–0,0–0,—
