Rank,Player,Team,Goals
1,Just Fontaine,Reims,10
2,Vavá,Atlético Madrid,8
3,Alfredo Di Stéfano,Real Madrid,6
3,Joaquín Peiró,Atlético Madrid,6
5,Enrique Collar,Atlético Madrid,5
5,Josef Hamerl,Wiener Sport-Club,5
5,Roger Piantoni,Reims,5
5,Klaus Zink,Wismut Karl-Marx-Stadt,5
9,Ivson,Sporting CP,4
9,Jean Jadot,Standard Liège,4
9,Bernhard Klodt,Schalke 04,4
9,Eugen Meier,Young Boys,4
9,Péter Palotás,MTK,4
9,Willy Tröger,Wismut Karl-Marx-Stadt,4
9,Ernst Wechselberger,Young Boys,4
