Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Standard Liège,2–3,Reims,2–0,0–3,
Atlético Madrid,4–1,Schalke 04,3–0,1–1,
Wiener Sport-Club,1–7,Real Madrid,0–0,1–7,
Young Boys,2–2,Wismut Karl-Marx-Stadt,2–2,0–0,2–1
