Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Sporting CP,2–6,Standard Liège,2–3,0–3,
Wiener Sport-Club,3–2,Dukla Prague,3–1,0–1,
MTK,2–6,Young Boys,1–2,1–4,
Atlético Madrid,2–2,CDNA Sofia,2–1,0–1,3–1 (a.e.t.)
IFK Göteborg,2–6,Wismut Karl-Marx-Stadt,2–2,0–4,
Wolverhampton Wanderers,3–4,Schalke 04,2–2,1–2,
Real Madrid,3–1,Beşiktaş,2–0,1–1,
Reims,7–0,Helsingin Palloseura,4–0,3–0,
