Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Shelbourne,1–2,Tavriya Simferopol,0–0,1–2
Valletta,1–3,Maccabi Tel Aviv,1–2,0–1
KÍ,1–6,Skonto,1–3,0–3
Olimpija Ljubljana,5–0,Norma Tallinn,3–0,2–0
