Rank,Name,Team,Goals
1,Romário,PSV Eindhoven,7
2,Marco van Basten,Milan,6
2,Franck Sauzée,Marseille,6
2,Alen Bokšić,Marseille,6
5,Johnny Ekström,IFK Göteborg,5
6,Marco Simone,Milan,4
6,Gert Verheyen,Club Brugge,4
6,Zé Carlos,Porto,4
6,Emil Kostadinov,Porto,4
6,Túlio,Sion,4
