Round,Teams entering in this round,Teams advancing from the previous round
Preliminary round (8 teams),8 champions ranked 29–36 by seeding coefficient,
First round (32 teams),28 champions ranked 1–28 by seeding coefficient (including title holders),4 winners from the qualifying round
Second round (16 teams),,16 winners from the first round
Group stage (8 teams),,8 winners from the second round
Final (2 teams),,2 group winners from the group stage
