Phase,Round,Draw date,First leg,Second leg
Preliminary round,Preliminary round,15 July 1992,19 August 1992,2 September 1992
First round[a],First round[a],15 July 1992,16 September 1992,30 September 1992
Second round,Second round,2 October 1992,21 October 1992,4 November 1992
Group stage,Matchday 1,6 November 1992,25 November 1992,25 November 1992
Group stage,Matchday 2,6 November 1992,9 December 1992,9 December 1992
Group stage,Matchday 3,6 November 1992,3 March 1993,3 March 1993
Group stage,Matchday 4,6 November 1992,17 March 1993,17 March 1993
Group stage,Matchday 5,6 November 1992,7 April 1993,7 April 1993
Group stage,Matchday 6,6 November 1992,21 April 1993,21 April 1993
Final,Final,6 November 1992,"26 May 1993 at Olympiastadion, Munich","26 May 1993 at Olympiastadion, Munich"
