Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
1. FC Köln,0–0 (ct),Liverpool,0–0,0–0,2–2[c]
Inter Milan,3–2,Rangers,3–1,0–1,
DWS,1–2,Győri Vasas ETO,1–1,0–1,
Benfica,6–3,Real Madrid,5–1,1–2,
