Rank,Player,Team,Goals
1,José Torres,Benfica,11
2,Eusébio,Benfica,9
3,Roger Hunt,Liverpool,7
3,Nikola Kotkov,Lokomotiv Sofia,7
5,Amancio,Real Madrid,6
5,Jim Forrest,Rangers,6
5,Paco Gento,Real Madrid,6
8,Spiro Debarski,Lokomotiv Sofia,5
8,Ian St John,Liverpool,5
10,Frans Geurtsen,DWS,4
10,Ramón Grosso,Real Madrid,4
10,László Keglovich,Győri Vasas ETO,4
10,Bo Larsson,Malmö FF,4
10,Sandro Mazzola,Inter Milan,4
10,László Povázsai,Győri Vasas ETO,4
10,Mosje Temming,DWS,4
