Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Sliema Wanderers,0–7,Dinamo București,0–2,0–5,
Rangers,5–5,Red Star Belgrade,3–1,2–4,3–1
Rapid Wien,5–0,Shamrock Rovers,3–0,2–0,
Glentoran,4–5,Panathinaikos,2–2,2–3,
Partizani,0–2,1. FC Köln,0–0,0–2,
Anderlecht,2–2 (ct),Bologna,1–0,1–2,0–0[a]
KR,1–11,Liverpool,0–5,1–6,
Chemie Leipzig,2–6,Győri Vasas ETO,0–2,2–4,
Lokomotiv Sofia,8–5,Malmö FF,8–3,0–2,
DWS,4–1,Fenerbahçe,3–1,1–0,
Reipas Lahti,2–4,Lyn,2–1,0–3,
Boldklubben 1909,2–9,Real Madrid,2–5,0–4,
Dukla Prague,4–4 (ct),Górnik Zabrze,4–1,0–3,0–0[b]
Saint-Étienne,3–4,La Chaux-de-Fonds,2–2,1–2,
Aris,2–10,Benfica,1–5,1–5,
