0,1,2,3
Partizani (1st),Rapid Wien (1st),Anderlecht (1st),Lokomotiv Sofia (1st)
Dukla Prague (1st),Boldklubben 1909 (1st),Chemie Leipzig (1st),Liverpool (1st)
Reipas Lahti (1st),Saint-Étienne (1st),Panathinaikos (1st),Győri Vasas ETO (1st)
KR (1st),Bologna (1st),Inter Milan (2nd)TH,Aris Bonnevoie (1st)
Sliema Wanderers (1st),DWS (1st),Glentoran (1st),Lyn (1st)
Górnik Zabrze (1st),Benfica (1st),Shamrock Rovers (1st),Dinamo București (1st)
Rangers (1st),Real Madrid (1st),Malmö FF (2nd),La Chaux-de-Fonds (1st)
Fenerbahçe (1st),1. FC Köln (1st),Red Star Belgrade (1st),
