Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,MON,SPM,GAL
1,Barcelona,6,4,2,0,13,3,+10,10,Advance to knockout stage,,—,2–0,5–1,3–0
2,Monaco,6,3,1,2,9,4,+5,7,Advance to knockout stage,,0–1,—,4–1,3–0
3,Spartak Moscow,6,1,3,2,6,12,−6,5,,,2–2,0–0,—,0–0
4,Galatasaray,6,0,2,4,1,10,−9,2,,,0–0,0–2,1–2,—
