Round,Teams entering in this round,Teams advancing from the previous round
Preliminary round (20 teams),20 champions ranked 23–42 by seeding coefficient,
First round (32 teams),22 champions ranked 1–22 by seeding coefficient (originally including title holders)[Note FRA],10 winners from the qualifying round
Second round (16 teams),,16 winners from the first round
Group stage (8 teams),,8 winners from the second round
Knockout stage (4 teams),,2 group winners from the group stage 2 group runners-up from the group stage
