Phase,Round,Draw date,First leg,Second leg
Qualifying round,Qualifying round,14 July 1993,18 August 1993,1 September 1993
First round,First round,14 July 1993,15 September 1993,29 September 1993
Second round,Second round,1 October 1993,20 October 1993,3 November 1993
Group stage,Matchday 1,5 November 1993,24 November 1993,24 November 1993
Group stage,Matchday 2,5 November 1993,8 December 1993,8 December 1993
Group stage,Matchday 3,5 November 1993,2 March 1994,2 March 1994
Group stage,Matchday 4,5 November 1993,16 March 1994,16 March 1994
Group stage,Matchday 5,5 November 1993,30 March 1994,30 March 1994
Group stage,Matchday 6,5 November 1993,13 April 1994,13 April 1994
Knockout phase,Semi-finals,5 November 1993,27 April 1994,27 April 1994
Knockout phase,Final,5 November 1993,"18 May 1994 at Olympic Stadium, Athens","18 May 1994 at Olympic Stadium, Athens"
