Rank,Name,Team,Goals
1,Sergei Yuran,Benfica,7
1,Jean-Pierre Papin,Marseille,7
3,Luc Nilis,Anderlecht,6
3,Darko Pančev,Red Star Belgrade,6
3,Gianluca Vialli,Sampdoria,6
6,Isaías,Benfica,5
7,Hristo Stoichkov,Barcelona,4
7,César Brito,Benfica,4
7,Marc Degryse,Anderlecht,4
7,Attilio Lombardo,Sampdoria,4
7,Roberto Mancini,Sampdoria,4
7,Siniša Mihajlović,Red Star Belgrade,4
7,Alan Smith,Arsenal,4
