Phase,Round,Draw date,First leg,Second leg
First round,First round,11 July 1991,17–18 September 1991,2 October 1991
Second round,Second round,4 October 1991,23 October 1991,6 November 1991
Group stage,Matchday 1,8 November 1991,27 November 1991,27 November 1991
Group stage,Matchday 2,8 November 1991,11–12 December 1991,11–12 December 1991
Group stage,Matchday 3,8 November 1991,4 March 1992,4 March 1992
Group stage,Matchday 4,8 November 1991,18 March 1992,18 March 1992
Group stage,Matchday 5,8 November 1991,1 April 1992,1 April 1992
Group stage,Matchday 6,8 November 1991,15 April 1992,15 April 1992
Final,Final,8 November 1991,"20 May 1992 at Wembley Stadium, London","20 May 1992 at Wembley Stadium, London"
