0,1,2,3
Red Star Belgrade (1st)TH,1. FC Kaiserslautern (1st)[Note GER],Sampdoria (1st),Barcelona (1st)
Anderlecht (1st),Benfica (1st),Marseille (1st),Dynamo Kyiv (1st)[Note URS]
PSV Eindhoven (1st),Universitatea Craiova (1st),Rangers (1st),IFK Göteborg (1st)
Austria Wien (1st),Hansa Rostock (1st)[Note GER],Grasshopper (1st),Sparta Prague (1st)
HJK (1st),Brøndby (1st),Etar Veliko Tarnovo (1st),Panathinaikos (1st)
Kispest Honvéd (1st),Zagłębie Lubin (1st),Beşiktaş (1st),Flamurtari (1st)
Rosenborg (1st),Apollon Limassol (1st),Portadown (1st),Fram (1st)
Hamrun Spartans (1st),Union Luxembourg (1st),Dundalk (1st),Arsenal (1st)
