Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,SAM,RSB,AND,PAN
1,Sampdoria,6,3,2,1,10,5,+5,8,Advance to final,,—,2–0,2–0,1–1
2,Red Star Belgrade,6,3,0,3,9,10,−1,6,,,1–3,—,3–2,1–0
3,Anderlecht,6,2,2,2,8,9,−1,6,,,3–2,3–2,—,0–0
4,Panathinaikos,6,0,4,2,1,4,−3,4,,,0–0,0–2,0–0,—
