Rank,Player,Team,Goals
1,Heinz Strehl,1. FC Nürnberg,8
2,Ferenc Puskás,Real Madrid,7
2,Alfredo Di Stéfano,Real Madrid,7
2,Justo Tejada,Real Madrid,7
5,José Águas,Benfica,6
5,Roger Claessen,Standard Liège,6
5,Bent Løfqvist,Boldklubben 1913,6
5,Bobby Smith,Tottenham Hotspur,6
9,Eusébio,Benfica,5
9,Rudolf Kučera,Dukla Prague,5
