Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
1. FC Nürnberg,3–7,Benfica,3–1,0–6,
Dukla Prague,2–4,Tottenham Hotspur,1–0,1–4,
Juventus,1–1,Real Madrid,0–1,1–0,1–3
Standard Liège,4–3,Rangers,4–1,0–2,
