Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Fenerbahçe,1–3,1. FC Nürnberg,1–2,0–1
Austria Wien,2–6,Benfica,1–1,1–5
Servette,4–5,Dukla Prague,4–3,0–2
Feyenoord,2–4,Tottenham Hotspur,1–3,1–1
Boldklubben 1913,0–12,Real Madrid,0–3,0–9
Partizan,1–7,Juventus,1–2,0–5
Standard Liège,7–1,Valkeakosken Haka,5–1,2–0
Vorwärts Berlin,2–6,Rangers,1–2,1–4
