0,1,2,3
Austria Wien (1st),Standard Liège (1st),CDNA Sofia (1st),Dukla Prague (1st)
Boldklubben 1913 (3rd),Vorwärts Berlin (1st),Tottenham Hotspur (1st),Valkeakosken Haka (1st)
Monaco (1st),Panathinaikos (1st),Vasas (1st),Juventus (1st)
Spora Luxembourg (1st),Hibernians (1st),Feyenoord (1st),Linfield (1st)
Fredrikstad (1st),Górnik Zabrze (1st),Benfica (1st)TH,Sporting CP (2nd)
Drumcondra (1st),Steaua București (1st),Rangers (1st),Real Madrid (1st)
IFK Göteborg (3rd),Servette (1st),Fenerbahçe (1st),1. FC Nürnberg (1st)
Partizan (1st),,,
