Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Porto,2–1,Brøndby,1–0,1–1
Beşiktaş,0–7,Dynamo Kyiv,0–5,0–2
Bayern Munich,7–2,Anderlecht,5–0,2–2
Red Star Belgrade,4–4 (a),Real Madrid,4–2,0–2
