Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,TOT,OLY,RSB
1,Bayern Munich,6,6,0,0,24,5,+19,18,Advance to knockout phase,,—,3–1,2–0,3–0
2,Tottenham Hotspur,6,3,1,2,18,14,+4,10,Advance to knockout phase,,2–7,—,4–2,5–0
3,Olympiacos,6,1,1,4,8,14,−6,4,Transfer to Europa League,,2–3,2–2,—,1–0
4,Red Star Belgrade,6,1,0,5,3,20,−17,3,,,0–6,0–4,3–1,—
