Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,VAL,CHE,AJX,LIL
1,Valencia,6,3,2,1,9,7,+2,11[a],Advance to knockout phase,,—,2–2,0–3,4–1
2,Chelsea,6,3,2,1,11,9,+2,11[a],Advance to knockout phase,,0–1,—,4–4,2–1
3,Ajax,6,3,1,2,12,6,+6,10,Transfer to Europa League,,0–1,0–1,—,3–0
4,Lille,6,0,1,5,4,14,−10,1,,,1–1,1–2,0–2,—
