Rank[43],Player,Team(s),Assists,Minutes played
1,Ángel Di María,Paris Saint-Germain,6,750
1,Robert Lewandowski,Bayern Munich,6,887
3,Hakim Ziyech,Ajax,5,499
3,Kylian Mbappé,Paris Saint-Germain,5,652
3,Houssem Aouar,Lyon,5,715
6,Corentin Tolisso,Bayern Munich,4,341
6,Riyad Mahrez,Manchester City,4,572
6,Neymar,Paris Saint-Germain,4,585
6,Roberto Firmino,Liverpool,4,629
6,Alphonso Davies,Bayern Munich,4,713
