Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RBL,LYO,BEN,ZEN
1,RB Leipzig,6,3,2,1,10,8,+2,11,Advance to knockout phase,,—,0–2,2–2,2–1
2,Lyon,6,2,2,2,9,8,+1,8,Advance to knockout phase,,2–2,—,3–1,1–1
3,Benfica,6,2,1,3,10,11,−1,7[a],Transfer to Europa League,,1–2,2–1,—,3–0
4,Zenit Saint Petersburg,6,2,1,3,7,9,−2,7[a],,,0–2,2–0,3–1,—
