Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,DOR,INT,SLP
1,Barcelona,6,4,2,0,9,4,+5,14,Advance to knockout phase,,—,3–1,2–1,0–0
2,Borussia Dortmund,6,3,1,2,8,8,0,10,Advance to knockout phase,,0–0,—,3–2,2–1
3,Inter Milan,6,2,1,3,10,9,+1,7,Transfer to Europa League,,1–2,2–0,—,1–1
4,Slavia Prague,6,0,2,4,4,10,−6,2,,,1–2,0–2,1–3,—
