Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LIV,NAP,SAL,GNK
1,Liverpool,6,4,1,1,13,8,+5,13,Advance to knockout phase,,—,1–1,4–3,2–1
2,Napoli,6,3,3,0,11,4,+7,12,Advance to knockout phase,,2–0,—,1–1,4–0
3,Red Bull Salzburg,6,2,1,3,16,13,+3,7,Transfer to Europa League,,0–2,2–3,—,6–2
4,Genk,6,0,1,5,5,20,−15,1,,,1–4,0–0,1–4,—
