Rank,Player,Team(s),Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Robert Lewandowski[4],Bayern Munich,361
2,Kylian Mbappé,Paris Saint-Germain,72
3,Neymar,Paris Saint-Germain,62
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Serge Gnabry,Bayern Munich,46
5,Erling Haaland[note 2],Red Bull Salzburg  Borussia Dortmund,33
5,Lionel Messi,Barcelona,33
7,Thomas Müller,Bayern Munich,29
8,Cristiano Ronaldo,Juventus,18
9,Ángel Di María,Paris Saint-Germain,9
10,Sadio Mané,Liverpool,8
