Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MCI,ATA,SHK,DZG
1,Manchester City,6,4,2,0,16,4,+12,14,Advance to knockout phase,,—,5–1,1–1,2–0
2,Atalanta,6,2,1,3,8,12,−4,7,Advance to knockout phase,,1–1,—,1–2,2–0
3,Shakhtar Donetsk,6,1,3,2,8,13,−5,6,Transfer to Europa League,,0–3,0–3,—,2–2
4,Dinamo Zagreb,6,1,2,3,10,13,−3,5,,,1–4,4–0,3–3,—
