Phase,Round,Draw date,First leg,Second leg
Qualifying,Preliminary round,11 June 2019,25 June 2019 (semi-final round),28 June 2019 (final round)
Qualifying,First qualifying round,18 June 2019,9–10 July 2019,16–17 July 2019
Qualifying,Second qualifying round,19 June 2019,23–24 July 2019,30–31 July 2019
Qualifying,Third qualifying round,22 July 2019,6–7 August 2019,13 August 2019
Play-off,Play-off round,5 August 2019,20–21 August 2019,27–28 August 2019
Group stage,Matchday 1,29 August 2019 (Monaco),17–18 September 2019,17–18 September 2019
Group stage,Matchday 2,29 August 2019 (Monaco),1–2 October 2019,1–2 October 2019
Group stage,Matchday 3,29 August 2019 (Monaco),22–23 October 2019,22–23 October 2019
Group stage,Matchday 4,29 August 2019 (Monaco),5–6 November 2019,5–6 November 2019
Group stage,Matchday 5,29 August 2019 (Monaco),26–27 November 2019,26–27 November 2019
Group stage,Matchday 6,29 August 2019 (Monaco),10–11 December 2019,10–11 December 2019
Knockout phase,Round of 16,16 December 2019,18–19 & 25–26 February 2020,10–11 March & 7–8 August 2020
Knockout phase,Quarter-finals,10 July 2020,12–15 August 2020,12–15 August 2020
Knockout phase,Semi-finals,10 July 2020,18–19 August 2020,18–19 August 2020
Knockout phase,Final,10 July 2020,"23 August 2020 at Estádio da Luz, Lisbon","23 August 2020 at Estádio da Luz, Lisbon"
