Rank,Player,Team(s),Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Joshua Kimmich[2],Bayern Munich,161
2,Alphonso Davies,Bayern Munich,138
3,David Alaba,Bayern Munich,119
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Virgil van Dijk,Liverpool,79
5,Thiago Silva,Paris Saint-Germain,54
6,Dayot Upamecano,RB Leipzig,46
7,Sergio Ramos,Real Madrid,35
8,Marquinhos,Paris Saint-Germain,21
9,Trent Alexander-Arnold,Liverpool,10
10,Matthijs de Ligt,Juventus,8
