Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,PAR,RMA,BRU,GAL
1,Paris Saint-Germain,6,5,1,0,17,2,+15,16,Advance to knockout phase,,—,3–0,1–0,5–0
2,Real Madrid,6,3,2,1,14,8,+6,11,Advance to knockout phase,,2–2,—,2–2,6–0
3,Club Brugge,6,0,3,3,4,12,−8,3,Transfer to Europa League,,0–5,1–3,—,0–0
4,Galatasaray,6,0,2,4,1,14,−13,2,,,0–1,0–1,1–1,—
