Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Borussia Dortmund,2–3,Paris Saint-Germain,2–1,0–2
Real Madrid,2–4,Manchester City,1–2,1–2
Atalanta,8–4,Valencia,4–1,4–3
Atlético Madrid,4–2,Liverpool,1–0,3–2 (a.e.t.)
Chelsea,1–7,Bayern Munich,0–3,1–4
Lyon,2–2 (a),Juventus,1–0,1–2
Tottenham Hotspur,0–4,RB Leipzig,0–1,0–3
Napoli,2–4,Barcelona,1–1,1–3
