Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Spartak Trnava,1–0,Zorya Voroshilovgrad,0–0,1–0
Benfica,1–3,Újpest,1–1,0–2
Bayern Munich,7–6,Dynamo Dresden,4–3,3–3
Ajax,1–2,CSKA September Flag,1–0,0–2
Club Brugge,6–7,Basel,2–1,4–6
Celtic,1–0,Vejle,0–0,1–0
Red Star Belgrade,4–2,Liverpool,2–1,2–1
Dinamo București,2–4,Atlético Madrid,0–2,2–2
