0,1,2,3
Wacker Innsbruck (1st),Club Brugge (1st),CSKA September Flag (1st),APOEL (1st)
Spartak Trnava (1st),Vejle (1st),Liverpool (1st),TPS (1st)
Nantes (1st),Dynamo Dresden (1st),Bayern Munich (1st),Olympiacos (1st)
Újpest (1st),Fram (1st),Waterford United (1st),Juventus (1st)
Jeunesse Esch (1st),Floriana (1st),Ajax (1st)TH,Crusaders (1st)
Viking (1st),Stal Mielec (1st),Benfica (1st),Dinamo București (1st)
Celtic (1st),Atlético Madrid (1st),Åtvidaberg (1st),Basel (1st)
Galatasaray (1st),Zaria Voroshilovgrad (1st),Red Star Belgrade (1st),
