Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Spartak Trnava,2–2 (3–4 p),Újpest,1–1,1–1
Bayern Munich,5–3,CSKA September Flag,4–1,1–2
FC Basel,5–6,Celtic,3–2,2–4
Red Star Belgrade,0–2,Atlético Madrid,0–2,0–0
