Rank,Name,Team,Goals
1,Gerd Müller,Bayern Munich,8
2,Raoul Lambert,Club Brugge,6
2,Conny Torstensson,Åtvidaberg / Bayern Munich,6
4,Dudu Georgescu,Dinamo București,5
4,Ottmar Hitzfeld,Basel,5
4,Uli Hoeneß,Bayern Munich,5
7,Walter Balmer,Basel,4
7,Pierre Carteus,Club Brugge,4
7,Radu Nunweiller,Dinamo București,4
10,Tommy Callaghan,Celtic,3
10,John Deans,Celtic,3
10,László Fazekas,Újpest,3
10,Jimmy Johnstone,Celtic,3
10,Dimitar Marashliev,CSKA September Flag,3
10,Stanislav Martinkovič,Spartak Trnava,3
