Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ARS,PSV,PAN,ROS
1,Arsenal,6,2,4,0,11,6,+5,10,Advance to knockout stage,,—,1–0,1–1,5–1
2,PSV Eindhoven,6,3,1,2,6,7,−1,10,Advance to knockout stage,,1–1,—,1–0,1–0
3,Panathinaikos,6,2,3,1,11,8,+3,9,Transfer to UEFA Cup,,2–2,4–1,—,2–1
4,Rosenborg,6,0,2,4,6,13,−7,2,,,1–1,1–2,2–2,—
