Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Real Madrid,1–2,Juventus,1–0,0–2 (a.e.t.)
Liverpool,6–2,Bayer Leverkusen,3–1,3–1
PSV Eindhoven,3–0,Monaco,1–0,2–0
Bayern Munich,3–2,Arsenal,3–1,0–1
Barcelona,4–5,Chelsea,2–1,2–4
Manchester United,0–2,Milan,0–1,0–1
Werder Bremen,2–10,Lyon,0–3,2–7
Porto,2–4,Internazionale,1–1,1–3
