Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Liverpool,2–1,Juventus,2–1,0–0
Lyon,2–2 (2–4 p),PSV Eindhoven,1–1,1–1 (a.e.t.)
Chelsea,6–5,Bayern Munich,4–2,2–3
Milan,5–0,Internazionale,2–0,3–0[a]
