Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MON,LIV,OLY,DEP
1,Monaco,6,4,0,2,10,4,+6,12,Advance to knockout stage,,—,1–0,2–1,2–0
2,Liverpool,6,3,1,2,6,3,+3,10,Advance to knockout stage,,2–0,—,3–1,0–0
3,Olympiacos,6,3,1,2,5,5,0,10,Transfer to UEFA Cup,,1–0,1–0,—,1–0
4,Deportivo La Coruña,6,0,2,4,0,9,−9,2,,,0–5,0–1,0–0,—
