Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LYO,MUN,FEN,SPP
1,Lyon,6,4,1,1,17,8,+9,13,Advance to knockout stage,,—,2–2,4–2,5–0
2,Manchester United,6,3,2,1,14,9,+5,11,Advance to knockout stage,,2–1,—,6–2,4–1
3,Fenerbahçe,6,3,0,3,10,13,−3,9,Transfer to UEFA Cup,,1–3,3–0,—,1–0
4,Sparta Prague,6,0,1,5,2,13,−11,1,,,1–2,0–0,0–1,—
