Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,INT,BRM,VAL,AND
1,Internazionale,6,4,2,0,14,3,+11,14,Advance to knockout stage,,—,2–0,0–0,3–0
2,Werder Bremen,6,4,1,1,12,6,+6,13,Advance to knockout stage,,1–1,—,2–1,5–1
3,Valencia,6,2,1,3,6,10,−4,7,Transfer to UEFA Cup,,1–5,0–2,—,2–0
4,Anderlecht,6,0,0,6,4,17,−13,0,,,1–3,1–2,1–2,—
