Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,25 June 2004,13–14 July 2004,21 July 2004
Qualifying,Second qualifying round,25 June 2004,27–28 July 2004,4 August 2004
Qualifying,Third qualifying round,30 July 2004,10–11 August 2004,24–25 August 2004
Group stage,Matchday 1,26 August 2004 (Monaco),14–15 September 2004,14–15 September 2004
Group stage,Matchday 2,26 August 2004 (Monaco),28–29 September 2004,28–29 September 2004
Group stage,Matchday 3,26 August 2004 (Monaco),19–20 October 2004,19–20 October 2004
Group stage,Matchday 4,26 August 2004 (Monaco),2–3 November 2004,2–3 November 2004
Group stage,Matchday 5,26 August 2004 (Monaco),23–24 November 2004,23–24 November 2004
Group stage,Matchday 6,26 August 2004 (Monaco),7–8 December 2004,7–8 December 2004
Knockout phase,Round of 16,17 December 2004,22–23 February 2005,8–9 March 2005[a]
Knockout phase,Quarter-finals,18 March 2005,5–6 April 2005,12–13 April 2005
Knockout phase,Semi-finals,18 March 2005,26–27 April 2005,3–4 May 2005
Knockout phase,Final,18 March 2005,"25 May 2005 at Atatürk Olympic Stadium, Istanbul","25 May 2005 at Atatürk Olympic Stadium, Istanbul"
