Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,POR,CSKA,PAR
1,Chelsea,6,4,1,1,10,3,+7,13,Advance to knockout stage,,—,3–1,2–0,0–0
2,Porto,6,2,2,2,4,6,−2,8,Advance to knockout stage,,2–1,—,0–0,0–0
3,CSKA Moscow,6,2,1,3,5,5,0,7,Transfer to UEFA Cup,,0–1,0–1,—,2–0
4,Paris Saint-Germain,6,1,2,3,3,8,−5,5,,,0–3,2–0,1–3,—
