Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MIL,BAR,SHK,CEL
1,Milan,6,4,1,1,10,3,+7,13,Advance to knockout stage,,—,1–0,4–0,3–1
2,Barcelona,6,3,1,2,9,6,+3,10,Advance to knockout stage,,2–1,—,3–0,1–1
3,Shakhtar Donetsk,6,2,0,4,5,9,−4,6,Transfer to UEFA Cup,,0–1,2–0,—,3–0
4,Celtic,6,1,2,3,4,10,−6,5,,,0–0,1–3,1–0,—
