Rank,Player,Team,Assists,Minutes played
1,Lionel Messi,Barcelona,6,1147
2,Andrés Iniesta,Barcelona,5,786
3,Bastian Schweinsteiger,Bayern Munich,4,456
3,Cesc Fàbregas,Chelsea,4,696
3,Koke,Atlético Madrid,4,833
3,Dani Alves,Barcelona,4,961
3,Cristiano Ronaldo,Real Madrid,4,1065
