Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,PAR,AJX,APO
1,Barcelona,6,5,0,1,15,5,+10,15,Advance to knockout phase,,—,3–1,3–1,1–0
2,Paris Saint-Germain,6,4,1,1,10,7,+3,13,Advance to knockout phase,,3–2,—,3–1,1–0
3,Ajax,6,1,2,3,8,10,−2,5,Transfer to Europa League,,0–2,1–1,—,4–0
4,APOEL,6,0,1,5,1,12,−11,1,,,0–4,0–1,1–1,—
