Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MON,LEV,ZEN,BEN
1,Monaco,6,3,2,1,4,1,+3,11,Advance to knockout phase,,—,1–0,2–0,0–0
2,Bayer Leverkusen,6,3,1,2,7,4,+3,10,Advance to knockout phase,,0–1,—,2–0,3–1
3,Zenit Saint Petersburg,6,2,1,3,4,6,−2,7,Transfer to Europa League,,0–0,1–2,—,1–0
4,Benfica,6,1,2,3,2,6,−4,5,,,1–0,0–0,0–2,—
