Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,23 June 2014,1–2 July 2014,8–9 July 2014
Qualifying,Second qualifying round,23 June 2014,15–16 July 2014,22–23 July 2014
Qualifying,Third qualifying round,18 July 2014,29–30 July 2014,5–6 August 2014
Play-off,Play-off round,8 August 2014,19–20 August 2014,26–27 August 2014
Group stage,Matchday 1,28 August 2014 (Monaco),16–17 September 2014,16–17 September 2014
Group stage,Matchday 2,28 August 2014 (Monaco),30 September–1 October 2014,30 September–1 October 2014
Group stage,Matchday 3,28 August 2014 (Monaco),21–22 October 2014,21–22 October 2014
Group stage,Matchday 4,28 August 2014 (Monaco),4–5 November 2014,4–5 November 2014
Group stage,Matchday 5,28 August 2014 (Monaco),25–26 November 2014,25–26 November 2014
Group stage,Matchday 6,28 August 2014 (Monaco),9–10 December 2014,9–10 December 2014
Knockout phase,Round of 16,15 December 2014,17–18 & 24–25 February 2015,10–11 & 17–18 March 2015
Knockout phase,Quarter-finals,20 March 2015,14–15 April 2015,21–22 April 2015
Knockout phase,Semi-finals,24 April 2015,5–6 May 2015,12–13 May 2015
Knockout phase,Final,24 April 2015,"6 June 2015 at Olympiastadion, Berlin","6 June 2015 at Olympiastadion, Berlin"
