Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ATM,JUV,OLY,MAL
1,Atlético Madrid,6,4,1,1,14,3,+11,13,Advance to knockout phase,,—,1–0,4–0,5–0
2,Juventus,6,3,1,2,7,4,+3,10,Advance to knockout phase,,0–0,—,3–2,2–0
3,Olympiacos,6,3,0,3,10,13,−3,9,Transfer to Europa League,,3–2,1–0,—,4–2
4,Malmö FF,6,1,0,5,4,15,−11,3,,,0–2,0–2,2–0,—
