Rank,Player,Team,Goals,Minutes played
1,Neymar,Barcelona,10,1026
1,Cristiano Ronaldo,Real Madrid,10,1065
1,Lionel Messi,Barcelona,10,1147
4,Luiz Adriano,Shakhtar Donetsk,9,628
5,Jackson Martínez,Porto,7,629
5,Thomas Müller,Bayern Munich,7,777
5,Luis Suárez,Barcelona,7,827
5,Carlos Tevez,Juventus,7,1156
9,Sergio Agüero,Manchester City,6,550
9,Karim Benzema,Real Madrid,6,664
9,Edinson Cavani,Paris Saint-Germain,6,920
9,Robert Lewandowski,Bayern Munich,6,932
