Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Paris Saint-Germain,3–3 (a),Chelsea,1–1,2–2 (a.e.t.)
Manchester City,1–3,Barcelona,1–2,0–1
Bayer Leverkusen,1–1 (2–3 p),Atlético Madrid,1–0,0–1 (a.e.t.)
Juventus,5–1,Borussia Dortmund,2–1,3–0
Schalke 04,4–5,Real Madrid,0–2,4–3
Shakhtar Donetsk,0–7,Bayern Munich,0–0,0–7
Arsenal,3–3 (a),Monaco,1–3,2–0
Basel,1–5,Porto,1–1,0–4
