Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,SCH,SPO,MRB
1,Chelsea,6,4,2,0,17,3,+14,14,Advance to knockout phase,,—,1–1,3–1,6–0
2,Schalke 04,6,2,2,2,9,14,−5,8,Advance to knockout phase,,0–5,—,4–3,1–1
3,Sporting CP,6,2,1,3,12,12,0,7,Transfer to Europa League,,0–1,4–2,—,3–1
4,Maribor,6,0,3,3,4,13,−9,3,,,1–1,0–1,1–1,—
