Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,POR,SHK,ATH,BATE
1,Porto,6,4,2,0,16,4,+12,14,Advance to knockout phase,,—,1–1,2–1,6–0
2,Shakhtar Donetsk,6,2,3,1,15,4,+11,9,Advance to knockout phase,,2–2,—,0–1,5–0
3,Athletic Bilbao,6,2,1,3,5,6,−1,7,Transfer to Europa League,,0–2,0–0,—,2–0
4,BATE Borisov,6,1,0,5,2,24,−22,3,,,0–3,0–7,2–1,—
