Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Paris Saint-Germain,1–5,Barcelona,1–3,0–2
Atlético Madrid,0–1,Real Madrid,0–0,0–1
Porto,4–7,Bayern Munich,3–1,1–6
Juventus,1–0,Monaco,1–0,0–0
