Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,MCI,ROM,CSKA
1,Bayern Munich,6,5,0,1,16,4,+12,15,Advance to knockout phase,,—,1–0,2–0,3–0
2,Manchester City,6,2,2,2,9,8,+1,8,Advance to knockout phase,,3–2,—,1–1,1–2
3,Roma,6,1,2,3,8,14,−6,5,Transfer to Europa League,,1–7,0–2,—,5–1
4,CSKA Moscow,6,1,2,3,6,13,−7,5,,,0–1,2–2,1–1,—
