Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,VAL,BSL,LIV,SPM
1,Valencia,6,5,1,0,17,4,+13,16,Advance to second group stage,,—,6–2,2–0,3–0
2,Basel,6,2,3,1,12,12,0,9,Advance to second group stage,,2–2,—,3–3,2–0
3,Liverpool,6,2,2,2,12,8,+4,8,Transfer to UEFA Cup,,0–1,1–1,—,5–0
4,Spartak Moscow,6,0,0,6,1,18,−17,0,,,0–3,0–2,1–3,—
